Item,Discounted_Price,Original_Price,Discount,,,,
Formal shoe,$23,$36.99,$14,,,,
Tablet,$30,$49.99,$20,,,,
Headphone,$60,$149.99,$90,,,,
Printer,$20,$59.99,$40,,,,
Speaker,$45,$59.99,$15,,,,
Sneaker,$55,$89.95,$35,,,,
Running Shoe,$66,$85.00,$19,,,,
Watch,$75,$91.75,$17,,,,
Wireless speaker,$99,$199.00,$100,,,,
Jogger,$41,$54.00,$14,,,,
Arsenal kit,$84,$90.00,$6,,,,
Gym shoe,$57,$69.95,$13,,,,
Laptop bag,$98,$113.97,$16,,,,
Bluetooth headphone,$78,$129.99,$52,,,,
Skateboard,$37,$59.99,$23,,,,
Sweater,$26,$27.82,$2,,,,
PS controller,$39,$64.99,$26,,,,
GTA V game,$85,$99.99,$15,,,,
Bike helmet,$30,$33.96,$4,,,,
Hair dryer ,$39,$59.99,$21,,,,
Bed sheet,$32,$39.78,$8,,,,
Shirt,$28,$39.99,$12,,,,
Power bank,$40,$46.99,$7,,,,
Sunglass,$35,$89.99,$55,,,,
Swimsuit,$32,$54.00,$22,,,,
Aquarium tank,$28,$32.89,$5,,,,
Blazer,$86,$99.99,$14,,,,
Kitchen mixer,$37,$39.67,$2,,,,
Microwave bowl,$16,$17.99,$2,,,,
Protein powder,$24,$28.99,$5,,,,